Number;Age;Language;CulturalProfile;Gender;Province;Income;Favoured_Product;JoinYear;Overdue;CurrentMOP;ClusterGroup
1815;26;English;3;Female;EC;C;Product3;2011;0;Debit;5
1872;26;English;2;Male;EC;;Product3;2013;0;Cash;6
1901;26;English;2;Male;EC;;Product3;2013;0;Cash;6
1923;26;English;3;Male;EC;;Product2;2013;0;Cash;6
1927;26;English;2;Male;EC;H;Product3;2012;0;Cash;2
1951;26;English;2;Female;EC;H;Product3;2012;1;Debit;5
1970;26;Afrikaans;3;Male;EC;I;Product3;2012;0;Cash;2
1976;26;English;3;Male;EC;;Product3;2013;0;Debit;5
1978;26;English;2;Male;EC;I;Product5;2013;0;Cash;2
1982;26;English;3;Male;EC;;Null;2013;0;Cash;6
2044;26;English;3;Male;EC;H;Product10;2009;1;Cash;2
2056;26;English;3;Female;EC;G;Product3;2013;0;Cash;2
2066;26;English;2;Male;EC;;Product3;2013;0;Cash;6
2106;26;English;2;Male;EC;I;Product1;2006;0;Debit;2
2119;26;English;2;Male;EC;H;Product3;2010;0;Cash;2
2144;26;English;2;Female;EC;G;Product1;2011;1;Cash;2
2162;26;English;2;Female;EC;H;Product3;2008;1;Cash;2
2168;26;English;2;Female;EC;;Product5;2013;0;Cash;6
2190;26;English;2;Male;EC;G;Product3;2013;0;Debit;5
2197;26;English;2;Male;EC;G;Product1;2010;1;Debit;5
2255;26;English;3;Male;EC;I;Product6;2011;1;Cash;2
2291;26;English;2;Male;EC;;Product3;2013;1;Cash;6
2292;26;English;3;Female;EC;;Null;2013;0;Cash;6
2297;26;English;3;Male;EC;B;Product1;2010;0;Cash;4
2299;26;English;3;Female;EC;H;Product3;2012;1;Cash;2
2320;26;English;2;Male;EC;H;Null;2012;0;Cash;2
2335;26;English;2;Male;EC;;Null;2013;0;Cash;6
2364;26;Afrikaans;3;Female;EC;;Product1;2013;0;Cash;1
2379;26;English;2;Male;EC;I;Product6;2010;0;Cash;2
2435;27;English;2;Female;EC;C;Product6;2010;0;Cash;6
2437;27;English;2;Female;EC;I;Product5;2013;1;Cash;2
2455;27;English;2;Male;EC;C;Product1;2012;0;Debit;4
2470;27;English;2;Female;EC;G;Product3;2010;1;Cash;2
2485;27;English;2;Male;EC;I;Product3;2011;1;Cash;2
2505;27;English;3;Male;EC;G;Product3;2009;1;Debit;5
2526;27;English;3;Male;EC;;Product1;2013;0;Debit;4
2531;27;English;2;Male;EC;;Product3;2013;0;Cash;6
2587;27;English;3;Male;EC;D;Product10;2010;1;Cash;4
2599;27;English;2;Male;EC;D;Product10;2011;1;Cash;4
2619;27;English;2;Male;EC;H;Product6;2011;1;Cash;2
2630;27;Afrikaans;3;Male;EC;B;Product1;2009;0;Debit;1
2634;27;English;3;Male;EC;H;Product3;2012;0;Cash;2
2667;27;English;2;Female;EC;D;Product3;2012;1;Cash;2
2679;27;English;2;Female;EC;H;Product3;2011;1;Cash;2
2694;27;English;2;Male;EC;;Product1;2011;1;Cash;6
2698;27;English;3;Male;EC;A;Product1;2012;0;Cash;4
2699;27;English;3;Female;EC;H;Product8;2011;1;Cash;2
2732;27;English;2;Male;EC;C;Product3;2012;1;Cash;2
2746;27;Afrikaans;3;Male;EC;;Product1;2013;0;Cash;1
2748;27;English;3;Male;EC;I;Product6;2013;0;Cash;2
2755;27;English;3;Female;EC;;Null;2011;0;Cash;6
2759;27;English;2;Male;EC;H;Product3;2011;1;Cash;2
2764;27;English;2;Female;EC;H;Product6;2011;1;Cash;2
2772;27;English;2;Female;EC;B;Product3;2011;1;Cash;6
2773;27;English;3;Female;EC;I;Product5;2012;1;Cash;2
2774;27;English;2;Male;EC;E;Product3;2012;0;Cash;2
2789;27;English;3;Female;EC;C;Product1;2009;0;Debit;4
2808;27;English;2;Female;EC;;Product3;2011;1;Cash;6
2829;27;English;2;Male;EC;;Product6;2013;0;Cash;6
2868;27;English;2;Male;EC;;Product6;2013;0;Cash;6
2884;27;English;2;Female;EC;;Product3;2013;1;Cash;6
2916;27;English;2;Female;EC;H;Product10;2011;1;Cash;2
2922;27;English;2;Female;EC;;Product3;2013;1;Cash;6
2941;27;English;2;Female;EC;H;Product1;2009;0;Cash;2
2944;27;English;3;Female;EC;I;Product1;2013;1;Cash;2
2979;27;Afrikaans;3;Male;EC;H;Product3;2011;0;Cash;1
3003;27;English;3;Male;EC;C;Product3;2012;0;Debit;5
3019;27;Afrikaans;3;Male;EC;G;Product10;2012;0;Debit;1
3020;27;English;2;Male;EC;H;Product3;2012;1;Cash;2
3037;27;English;2;Male;EC;H;Product3;2012;1;Cash;2
3072;27;English;2;Male;EC;G;Product6;2010;1;Debit;5
3090;27;English;2;Male;EC;;Product3;2013;0;Cash;6
3115;27;English;2;Male;EC;I;Product3;2009;1;Cash;2
3142;27;English;2;Female;EC;I;Product3;2011;0;Cash;2
3160;28;English;2;Female;EC;H;Product3;2011;0;Cash;2
3161;28;English;3;Female;EC;E;Product10;2008;0;Debit;4
3163;28;English;3;Male;EC;F;Product1;2008;1;Cash;4
3186;28;English;3;Female;EC;I;Product3;2012;0;Cash;2
3202;28;English;2;Male;EC;I;Product3;2012;1;Cash;2
3208;28;Afrikaans;2;Male;EC;H;Product10;2010;1;Cash;1
3248;28;English;2;Male;EC;C;Product3;2010;0;Debit;5
3272;28;English;2;Male;EC;D;Product3;2009;1;Cash;6
3276;28;English;2;Female;EC;C;Product3;2009;1;Cash;2
3291;28;English;2;Female;EC;H;Product3;2011;0;Debit;5
3310;28;English;2;Male;EC;;Product1;2011;0;Cash;6
3331;28;English;2;Male;EC;H;Product3;2011;0;Cash;2
3334;28;English;3;Female;EC;H;Product3;2011;1;Cash;2
3370;28;English;2;Male;EC;;Product3;2013;1;Cash;6
3372;28;English;2;Female;EC;I;Product6;2009;0;Cash;2
3374;28;English;2;Female;EC;G;Product3;2010;1;Cash;2
3381;28;English;3;Female;EC;;Product1;2008;0;Cash;4
